PREFIXO: ;E3-003
NOME DO POSTO: ;AGUA BRANCA
MUNICÍPIO: ;SAO PAULO
CURSO D'ÁGUA: ;TIETE,R
LATITUDE: ;23°30'57"
LONGITUDE: ;46°40'51"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  01/2018;---; 37,7;  9,1; 15,0;  0,0;---;---; 23,0; 12,4;---;---;---;---;---;---;---; 23,4;  0,1;  2,0;---;---; 48,0;  6,6;  3,4;---;---;---;---;3,2;14,9;12,5;---;---
  02/2018;  0,0;  0,0;  0,0;  0,0;  0,2;  0,0;  0,0;  0,0;  0,0;---;---;---;---;  0,0;  0,0;  0,0;---;---;  0,0;  0,0;---;  0,0;  0,0;---;---;  0,0;---;---;---;---;---;---;---
  03/2018;  0,0;  0,0;---;---; 10,0;  8,0;  4,0;  0,0; 15,0;---;---; 10,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 15,0; 18,0; 22,2;  0,0;---;---;---; 10,0;  2,4;20,8;0,0;0,0;---;---
  04/2018;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;  0,0;  0,0;  0,0;  0,0;---;  0,0;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;0,0;---;---;---
  05/2018;---;  0,0;  0,0;  0,0;  0,0;---;  0,0;  0,0;  0,0;  0,0;---;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---; 11,3;  0,0;  0,0;  0,0;  0,0;---;---;  0,0;0,0;0,0;---;---;---
  06/2018;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,9;  3,4;---;---;  0,0;  0,0;  5,9; 10,0;  0,0;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;---;---
  07/2018;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;---;  0,0;  0,0;  0,0;  0,0;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;0,0;25,5;---;---
  08/2018;  1,3;  4,5;  0,0;---;---;  6,0; 10,0;  0,0;  2,0;  0,0;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;  8,7;---;---;  0,0;0,0;0,0;0,0;---;---
  09/2018;  0,0;  0,0;  0,0;  0,0; 14,3;  1,0;---;---;---;  0,0;  0,0;  0,0;  0,0; 14,4; 13,0;  0,0;  1,5;  5,4;  0,0;  0,0; 12,2;---;---;  0,0;  0,0;  0,0;  1,7;---;---;0,0;---;---;---
  10/2018; 25,0;  1,5;  0,0;  0,5;  0,0;---;---;  0,7; 18,8;  0,9;  2,2;---;---;---; 19,1;  1,8;  1,6; 20,0;  0,0;---;---;---;  0,0;---; 18,0;  0,0;  0,0;  0,0;4,2;0,0;0,0;---;---
