PREFIXO: ;E3-006
NOME DO POSTO: ;SANTO AMARO
MUNICÍPIO: ;SAO PAULO
CURSO D'ÁGUA: ;PINHEIROS,R
LATITUDE: ;23°38'24"
LONGITUDE: ;46°41'33"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  01/2018; 10,0;  0,0;  0,2; 10,2;  0,0;  0,0;  1,0; 11,0; 16,5;  0,4; 34,1;  0,0;  0,0;  0,8;  0,0;  0,0; 11,5;  0,1;---;---;  1,0;  4,5;  7,5;  3,0;  0,0;  1,0;  5,3;  0,0;3,6;34,0;17,5;---;---
  02/2018;  0,2;  0,0;  0,0;  0,0;  0,0;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,0;  2,4;  5,8;  1,3;  0,0;  0,0;  0,3;  0,0;  0,0;  3,5; 17,3;  0,0;  0,0;  0,0;---;  0,0;---;---;---;---;---
  03/2018;  0,0;  0,0; 14,4;  0,7;  1,4;  5,4; 13,7;---;  0,7;  0,0;  0,6;  0,0; 10,2;  0,0; 23,6;  0,0;  0,0;  0,0;  0,0;---;  0,0;  7,8;  0,1;  0,0;  0,0;  0,0; 20,9;  3,0;1,0;0,0;0,0;---;---
  04/2018; 35,0;  2,5;  0,0; 13,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 18,0;  7,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;35,0;76,3
  05/2018;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 13,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,1;0,0;0,0;0,0;13,4;15,8
  06/2018;  0,0;  0,0;  0,7;  0,5;  0,4;  0,2;  2,7;  2,0;  0,0;  0,0;  0,0;  0,0;  7,8;  5,6;---;  0,2;  0,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;---;---
  07/2018;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;---;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,4;  0,0;  0,0;  0,0;---;---;  0,0;0,0;0,0;19,1;---;---
  08/2018;  1,4;  5,3;  0,0; 15,0;  0,0;  3,8;  6,2;  0,0;  2,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,1;  0,0;  1,0;  0,3;  0,0;  0,0;  0,0;  0,0;  0,2;  0,0;  8,0;  0,7;  0,8;  0,1;0,0;0,0;0,0;15,0;45,0
  09/2018;  0,0;  0,0;  0,9;  0,5;  3,3;  0,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,9;---; 25,8;  0,0;  0,7;  0,0;  0,1; 13,6;  6,8;  0,1;  0,0;---;  0,0;---;---;  2,8;6,5;0,0;---;---;---
  10/2018; 44,8;  1,9;  0,0;---;  0,0;  0,2;  2,1;  6,0; 11,2;  2,7;---;  0,8;  0,0; 13,1; 11,8;  1,1;  0,0; 73,2;  1,9;  5,6;  0,0;  0,0;  0,0;  2,3; 12,6;  3,2;  3,5; 10,5;0,0;0,0;0,0;---;---
  11/2018;  2,9;---;  0,0;  5,3;  0,0;  0,0;  0,0;  0,3;  0,0;  0,0; 12,7;  0,0;  0,0;  0,0;  0,0;  5,3;  0,0;  0,0; 36,7;  0,0;  0,4;  0,0;  1,9; 13,3; 10,3;---;  0,0;  0,0;---;22,3;---;---;---
  12/2018; 74,3;---;  2,4;  0,7;  0,0;---;  0,0;  2,3;  0,0;  0,0;  0,0;---;---; 32,3;  0,0;---;  0,0;  3,8;  4,1;  0,0;  0,2;  7,4;  9,6; 39,1; 36,8;  0,0;  0,0;  0,0;1,0;0,0;0,0;---;---
  01/2019;  0,0;  0,0;  0,0;  4,0; 72,3; 41,1; 21,9;  0,0;  2,1;  0,0; 53,8;  1,3;  0,0;  4,5; 13,2;  0,0;  0,0; 27,0;  0,4; 17,1;  9,8;  0,0;  3,3;  0,0;  0,1; 53,7;120,9;  0,0;0,0;0,0;0,0;120,9;446,5
  02/2019;  0,0;  0,0;  0,0; 93,2;  2,6;  9,7; 40,6;  0,0;  0,0;  0,0;  0,0;  0,0; 12,4;  0,9;  0,0; 65,7; 28,7;  0,0;  0,0;---; 61,1; 28,5;  8,8;  0,4;  0,0; 43,5; 19,0;  3,1;---;---;---;---;---
  03/2019; 49,3;  2,4; 70,8;  1,6;  0,0; 34,6;  4,4;  7,9;  0,0; 16,2; 83,0;  1,3;  0,3;  0,0; 25,5;  4,2;  0,0; 54,3;  0,0; 11,6; 12,2;  3,8;  0,0;  0,0;  0,0;  0,0;  0,0;  2,0;1,6;0,0;---;---;---
  04/2019;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 33,4; 13,8; 34,0; 39,4;  1,2;  0,0;  0,0;  1,2;---;  0,0;  5,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;37,2;0,0;---;---;---
  05/2019;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  6,8;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,7;  7,5;  8,5;  3,5;  1,9;  0,0;  0,0;  0,0;  0,0;---;  0,0;  0,0;  0,0;16,0;0,0;6,3;---;---
